;p_hash;retweets_by_cluster_0;num_of_unique_tweet_id;sum_of_retweet_count;image_url
0;db89245c35ad52ad;4700;20;10743;https://storage.googleapis.com/vote-twitter-stream/5547006013472768.jpg
1;d5ad2ad8d5274658;3424;8;6425;https://storage.googleapis.com/vote-twitter-stream/4674182692470784.jpg
2;9ab74070ec46f0bd;2588;12;3411;https://storage.googleapis.com/vote-twitter-stream/5133727885688832.jpg
3;aa0383b4f4f8e5b4;2378;3;2945;https://storage.googleapis.com/vote-twitter-stream/5359116184715264.jpg
4;bf438762949de0f0;1613;1;2475;https://storage.googleapis.com/vote-twitter-stream/6594912292175872.jpg
5;a7ec409f9f4cc388;1545;6;1994;https://storage.googleapis.com/vote-twitter-stream/5928334550630400.jpg
6;b797b1a2cae8058e;1270;2;5382;https://storage.googleapis.com/vote-twitter-stream/4641422451933184.jpg
7;b7a3c818815d1cbf;1011;1;2063;https://storage.googleapis.com/vote-twitter-stream/6561151542362112.jpg
8;aef11f62817bc08d;918;20;2221;https://storage.googleapis.com/vote-twitter-stream/4564987175501824.jpg
9;b4a55af58cda4598;816;3;1091;https://storage.googleapis.com/vote-twitter-stream/6367731985154048.jpg