;p_hash;retweets_by_suspended;num_of_unique_tweet_id;sum_of_retweet_count;image_url
0;b9b7628638c935ca;5547;15;24399;https://storage.googleapis.com/vote-twitter-stream/5932383765266432.jpg
1;d47a09e12cb81fc7;3122;11;20104;https://storage.googleapis.com/vote-twitter-stream/6547460218421248.jpg
2;e64dc8a663a358a7;2249;13;12593;https://storage.googleapis.com/vote-twitter-stream/6259933741842432.jpg
3;87be796165361cc8;2228;9;13769;https://storage.googleapis.com/vote-twitter-stream/5206482979127296.jpg
4;9a2f6093d0aadcec;1837;34;28833;https://storage.googleapis.com/vote-twitter-stream/5450323950829568.jpg
5;b413bd70875a4b2b;1641;1;6047;https://storage.googleapis.com/vote-twitter-stream/6553058439856128.jpg
6;c5fd801bb9c66255;1620;3;7540;https://storage.googleapis.com/vote-twitter-stream/6716355151659008.jpg
7;bce2e261323766b2;1568;9;18979;https://storage.googleapis.com/vote-twitter-stream/5825533770203136.jpg
8;90d13a1c17cbe9b6;1468;1;5544;https://storage.googleapis.com/vote-twitter-stream/6551986912624640.jpg
9;f496e9c909749e61;1408;15;14075;https://storage.googleapis.com/vote-twitter-stream/5931659392188416.jpg